Ano;Mês;Países;"Bloco Econômico";Via;"Código NCM";"Descrição NCM";"Valor FOB (US$)";"Quilograma Líquido"
2020;12;Argentina;"Mercado Comum do Sul - Mercosul";RODOVIARIA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";93626;10174
2020;12;Argentina;"Mercado Comum do Sul - Mercosul";RODOVIARIA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";482891;1772
2020;12;Áustria;Europa;AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";81319;844
2020;12;Áustria;"União Europeia - UE";AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";81319;844
2020;12;Bélgica;Europa;AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";172040;671
2020;12;Bélgica;Europa;MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";22093;5094
2020;12;Bélgica;"União Europeia - UE";AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";172040;671
2020;12;Bélgica;"União Europeia - UE";MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";22093;5094
2020;12;Canadá;"América do Norte";AEREA;29322000;Lactonas;4875;0
2020;12;Canadá;"América do Norte";AEREA;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";1920;0
2020;12;Canadá;"América do Norte";AEREA;29419059;"Outros macrolídios e seus sais";8793;0
2020;12;Canadá;"América do Norte";AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";3167678;70
2020;12;China;"Ásia (Exclusive Oriente Médio)";AEREA;29322000;Lactonas;2700240;2969
2020;12;China;"Ásia (Exclusive Oriente Médio)";AEREA;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";131;0
2020;12;China;"Ásia (Exclusive Oriente Médio)";AEREA;29419059;"Outros macrolídios e seus sais";510577;3675
2020;12;China;"Ásia (Exclusive Oriente Médio)";MARITIMA;29322000;Lactonas;2998256;334473
2020;12;China;"Ásia (Exclusive Oriente Médio)";MARITIMA;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";479521;65600
2020;12;China;"Ásia (Exclusive Oriente Médio)";MARITIMA;29419059;"Outros macrolídios e seus sais";1462754;23110
2020;12;China;"Ásia (Exclusive Oriente Médio)";MARITIMA;30039079;"Medicamentos contendo outros compostos heterocíclicos heteroat.nitrogenados, exceto em doses";221598;20000
2020;12;Cingapura;"Ásia (Exclusive Oriente Médio)";AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";1269036;1375
2020;12;Cingapura;"Ásia (Exclusive Oriente Médio)";AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";95897;8
2020;12;Cingapura;"Ásia (Exclusive Oriente Médio)";MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";954433;17468
2020;12;Cingapura;"Associação de Nações do Sudeste Asiático - ASEAN";AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";1269036;1375
2020;12;Cingapura;"Associação de Nações do Sudeste Asiático - ASEAN";AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";95897;8
2020;12;Cingapura;"Associação de Nações do Sudeste Asiático - ASEAN";MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";954433;17468
2020;12;Colômbia;"América do Sul";MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";427381;8722
2020;12;Dinamarca;Europa;MARITIMA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";247678;1475
2020;12;Dinamarca;Europa;MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";641901;1897
2020;12;Dinamarca;"União Europeia - UE";MARITIMA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";247678;1475
2020;12;Dinamarca;"União Europeia - UE";MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";641901;1897
2020;12;Eslovênia;Europa;AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";3841;285
2020;12;Eslovênia;Europa;MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";80544;2618
2020;12;Eslovênia;"União Europeia - UE";AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";3841;285
2020;12;Eslovênia;"União Europeia - UE";MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";80544;2618
2020;12;Espanha;Europa;AEREA;29322000;Lactonas;1661;206
2020;12;Espanha;Europa;AEREA;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";105702;18
2020;12;Espanha;Europa;AEREA;29419059;"Outros macrolídios e seus sais";424728;1388
2020;12;Espanha;Europa;AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";1932137;7151
2020;12;Espanha;Europa;MARITIMA;29322000;Lactonas;146534;17502
2020;12;Espanha;Europa;MARITIMA;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";16156;51
2020;12;Espanha;Europa;MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";691632;4942
2020;12;Espanha;"União Europeia - UE";AEREA;29322000;Lactonas;1661;206
2020;12;Espanha;"União Europeia - UE";AEREA;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";105702;18
2020;12;Espanha;"União Europeia - UE";AEREA;29419059;"Outros macrolídios e seus sais";424728;1388
2020;12;Espanha;"União Europeia - UE";AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";1932137;7151
2020;12;Espanha;"União Europeia - UE";MARITIMA;29322000;Lactonas;146534;17502
2020;12;Espanha;"União Europeia - UE";MARITIMA;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";16156;51
2020;12;Espanha;"União Europeia - UE";MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";691632;4942
2020;12;"Estados Unidos";"América do Norte";AEREA;29322000;Lactonas;54776;41
2020;12;"Estados Unidos";"América do Norte";AEREA;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";35017;0
2020;12;"Estados Unidos";"América do Norte";AEREA;29419059;"Outros macrolídios e seus sais";24151;0
2020;12;"Estados Unidos";"América do Norte";AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";3520328;2780
2020;12;"Estados Unidos";"América do Norte";AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";10613908;4336
2020;12;"Estados Unidos";"América do Norte";MARITIMA;29322000;Lactonas;358667;18251
2020;12;"Estados Unidos";"América do Norte";MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";2015;2
2020;12;"Estados Unidos";"América do Norte";RODOVIARIA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";910485;5658
2020;12;França;Europa;AEREA;29322000;Lactonas;5267;45
2020;12;França;Europa;AEREA;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";50;0
2020;12;França;Europa;AEREA;29419059;"Outros macrolídios e seus sais";365;0
2020;12;França;Europa;AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";209278;3543
2020;12;França;Europa;AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";1275873;1421
2020;12;França;Europa;MARITIMA;29322000;Lactonas;32490;20065
2020;12;França;Europa;MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";817523;24766
2020;12;França;"União Europeia - UE";AEREA;29322000;Lactonas;5267;45
2020;12;França;"União Europeia - UE";AEREA;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";50;0
2020;12;França;"União Europeia - UE";AEREA;29419059;"Outros macrolídios e seus sais";365;0
2020;12;França;"União Europeia - UE";AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";209278;3543
2020;12;França;"União Europeia - UE";AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";1275873;1421
2020;12;França;"União Europeia - UE";MARITIMA;29322000;Lactonas;32490;20065
2020;12;França;"União Europeia - UE";MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";817523;24766
2020;12;Grécia;Europa;MARITIMA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";126950;2070
2020;12;Grécia;"União Europeia - UE";MARITIMA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";126950;2070
2020;12;Índia;"Ásia (Exclusive Oriente Médio)";AEREA;29322000;Lactonas;1055924;2949
2020;12;Índia;"Ásia (Exclusive Oriente Médio)";AEREA;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";192418;1631
2020;12;Índia;"Ásia (Exclusive Oriente Médio)";AEREA;29419059;"Outros macrolídios e seus sais";1324762;5759
2020;12;Índia;"Ásia (Exclusive Oriente Médio)";AEREA;30039079;"Medicamentos contendo outros compostos heterocíclicos heteroat.nitrogenados, exceto em doses";276100;1006
2020;12;Índia;"Ásia (Exclusive Oriente Médio)";AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";252280;2457
2020;12;Índia;"Ásia (Exclusive Oriente Médio)";AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";1599927;18217
2020;12;Índia;"Ásia (Exclusive Oriente Médio)";MARITIMA;29322000;Lactonas;296451;82400
2020;12;Índia;"Ásia (Exclusive Oriente Médio)";MARITIMA;29419059;"Outros macrolídios e seus sais";420212;2100
2020;12;Índia;"Ásia (Exclusive Oriente Médio)";MARITIMA;30039079;"Medicamentos contendo outros compostos heterocíclicos heteroat.nitrogenados, exceto em doses";166487;13400
2020;12;Índia;"Ásia (Exclusive Oriente Médio)";MARITIMA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";639629;10558
2020;12;Índia;"Ásia (Exclusive Oriente Médio)";MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";3117995;45699
2020;12;Irlanda;Europa;AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";188;11
2020;12;Irlanda;Europa;MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";358312;6041
2020;12;Irlanda;"União Europeia - UE";AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";188;11
2020;12;Irlanda;"União Europeia - UE";MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";358312;6041
2020;12;Israel;"Oriente Médio";AEREA;29322000;Lactonas;405;0
2020;12;Israel;"Oriente Médio";AEREA;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";92;0
2020;12;Israel;"Oriente Médio";AEREA;29419059;"Outros macrolídios e seus sais";49;0
2020;12;Itália;Europa;AEREA;29322000;Lactonas;1766852;527
2020;12;Itália;Europa;AEREA;30039069;"Medicamento contendo outros tiocompostos orgânicos, etc.exceto em doses";122968;700
2020;12;Itália;Europa;AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";95343;0
2020;12;Itália;Europa;AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";720131;1852
2020;12;Itália;Europa;MARITIMA;29322000;Lactonas;41594;20000
2020;12;Itália;"União Europeia - UE";AEREA;29322000;Lactonas;1766852;527
2020;12;Itália;"União Europeia - UE";AEREA;30039069;"Medicamento contendo outros tiocompostos orgânicos, etc.exceto em doses";122968;700
2020;12;Itália;"União Europeia - UE";AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";95343;0
2020;12;Itália;"União Europeia - UE";AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";720131;1852
2020;12;Itália;"União Europeia - UE";MARITIMA;29322000;Lactonas;41594;20000
2020;12;Japão;"Ásia (Exclusive Oriente Médio)";AEREA;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";115;1
2020;12;Japão;"Ásia (Exclusive Oriente Médio)";AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";41307;25
2020;12;Japão;"Ásia (Exclusive Oriente Médio)";MARITIMA;29322000;Lactonas;81159;16720
2020;12;Japão;"Ásia (Exclusive Oriente Médio)";MARITIMA;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";3416;12
2020;12;México;"América do Norte";AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";8216;43
2020;12;"Países Baixos (Holanda)";Europa;AEREA;29322000;Lactonas;128;1
2020;12;"Países Baixos (Holanda)";"União Europeia - UE";AEREA;29322000;Lactonas;128;1
2020;12;Polônia;Europa;AEREA;29322000;Lactonas;33629;17
2020;12;Polônia;Europa;AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";172572;972
2020;12;Polônia;"União Europeia - UE";AEREA;29322000;Lactonas;33629;17
2020;12;Polônia;"União Europeia - UE";AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";172572;972
2020;12;"Porto Rico";"América Central e Caribe";AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";1223861;485
2020;12;"Porto Rico";"América Central e Caribe";MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";12628;100
2020;12;Portugal;Europa;AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";40379;1273
2020;12;Portugal;"União Europeia - UE";AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";40379;1273
2020;12;"Reino Unido";Europa;AEREA;29322000;Lactonas;2364;92
2020;12;"Reino Unido";Europa;AEREA;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";164;0
2020;12;"Reino Unido";Europa;AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";6267679;7007
2020;12;"Reino Unido";Europa;MARITIMA;29322000;Lactonas;262;1
2020;12;Romênia;Europa;AEREA;29322000;Lactonas;1642;16
2020;12;Romênia;Europa;MARITIMA;29322000;Lactonas;23420;1030
2020;12;Romênia;"União Europeia - UE";AEREA;29322000;Lactonas;1642;16
2020;12;Romênia;"União Europeia - UE";MARITIMA;29322000;Lactonas;23420;1030
2020;12;Suécia;Europa;MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";94868;698
2020;12;Suécia;Europa;RODOVIARIA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";840206;3095
2020;12;Suécia;"União Europeia - UE";MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";94868;698
2020;12;Suécia;"União Europeia - UE";RODOVIARIA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";840206;3095
2020;12;Suíça;Europa;AEREA;29322000;Lactonas;12949;11
2020;12;Suíça;Europa;AEREA;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";3216;5
2020;12;Suíça;Europa;AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";19983;1
2020;12;Suíça;Europa;AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";5255874;931
2020;12;Suíça;Europa;MARITIMA;29322000;Lactonas;43613;80
2020;12;Suíça;Europa;MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";565822;4523
2020;12;Turquia;Europa;AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";3915;113
2020;12;Turquia;Europa;MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";14983;1292
2020;12;Uruguai;"América do Sul";AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";21754;266
2020;12;Uruguai;"América do Sul";RODOVIARIA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";48129;4090
2020;12;Uruguai;"Mercado Comum do Sul - Mercosul";AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";21754;266
2020;12;Uruguai;"Mercado Comum do Sul - Mercosul";RODOVIARIA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";48129;4090
2020;11;Alemanha;Europa;AEREA;29322000;Lactonas;1228;4
2020;11;Alemanha;Europa;AEREA;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";1085;0
2020;11;Alemanha;Europa;AEREA;30046000;"Outros medicamentos, que contenham princípios ativos antimaláricos (antipalúdicos) descritos na Nota de subposições 2 do presente Capítulo";330935;9118
2020;11;Alemanha;Europa;AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";26100;99
2020;11;Alemanha;Europa;AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";7389393;15169
2020;11;Alemanha;Europa;MARITIMA;29322000;Lactonas;30603;1265
2020;11;Alemanha;Europa;MARITIMA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";1678426;6519
2020;11;Alemanha;Europa;MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";1645320;22957
2020;11;Alemanha;"União Europeia - UE";AEREA;29322000;Lactonas;1228;4
2020;11;Alemanha;"União Europeia - UE";AEREA;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";1085;0
2020;11;Alemanha;"União Europeia - UE";AEREA;30046000;"Outros medicamentos, que contenham princípios ativos antimaláricos (antipalúdicos) descritos na Nota de subposições 2 do presente Capítulo";330935;9118
2020;11;Alemanha;"União Europeia - UE";AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";26100;99
2020;11;Alemanha;"União Europeia - UE";AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";7389393;15169
2020;11;Alemanha;"União Europeia - UE";MARITIMA;29322000;Lactonas;30603;1265
2020;11;Alemanha;"União Europeia - UE";MARITIMA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";1678426;6519
2020;11;Alemanha;"União Europeia - UE";MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";1645320;22957
2020;11;Argentina;"América do Sul";AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";543557;1739
2020;11;Argentina;"América do Sul";RODOVIARIA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";283236;12644
2020;11;Argentina;"América do Sul";RODOVIARIA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";239117;642
2020;11;Argentina;"Mercado Comum do Sul - Mercosul";AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";543557;1739
2020;11;Argentina;"Mercado Comum do Sul - Mercosul";RODOVIARIA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";283236;12644
2020;11;Argentina;"Mercado Comum do Sul - Mercosul";RODOVIARIA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";239117;642
2020;11;Áustria;Europa;AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";26962;45
2020;11;Áustria;"União Europeia - UE";AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";26962;45
2020;11;Bélgica;Europa;AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";98853;220
2020;11;Bélgica;"União Europeia - UE";AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";98853;220
2020;11;Bulgária;Europa;AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";784;4
2020;11;Bulgária;"União Europeia - UE";AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";784;4
2020;11;Canadá;"América do Norte";AEREA;29322000;Lactonas;370;0
2020;11;Canadá;"América do Norte";AEREA;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";11004;0
2020;11;Canadá;"América do Norte";AEREA;29419059;"Outros macrolídios e seus sais";4522;0
2020;11;China;"Ásia (Exclusive Oriente Médio)";AEREA;29322000;Lactonas;1901937;4686
2020;11;China;"Ásia (Exclusive Oriente Médio)";AEREA;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";85;0
2020;11;China;"Ásia (Exclusive Oriente Médio)";AEREA;29419059;"Outros macrolídios e seus sais";1621692;10729
2020;11;China;"Ásia (Exclusive Oriente Médio)";AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";27341;260
2020;11;China;"Ásia (Exclusive Oriente Médio)";MARITIMA;29322000;Lactonas;5098015;638940
2020;11;China;"Ásia (Exclusive Oriente Médio)";MARITIMA;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";206882;23000
2020;11;China;"Ásia (Exclusive Oriente Médio)";MARITIMA;29419059;"Outros macrolídios e seus sais";786029;10700
2020;11;Cingapura;"Ásia (Exclusive Oriente Médio)";AEREA;29322000;Lactonas;242;0
2020;11;Cingapura;"Ásia (Exclusive Oriente Médio)";AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";199886;168
2020;11;Cingapura;"Ásia (Exclusive Oriente Médio)";AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";3289300;16679
2020;11;Cingapura;"Associação de Nações do Sudeste Asiático - ASEAN";AEREA;29322000;Lactonas;242;0
2020;11;Cingapura;"Associação de Nações do Sudeste Asiático - ASEAN";AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";199886;168
2020;11;Cingapura;"Associação de Nações do Sudeste Asiático - ASEAN";AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";3289300;16679
2020;11;Colômbia;"América do Sul";MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";152990;3609
2020;11;Dinamarca;Europa;MARITIMA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";21281;656
2020;11;Dinamarca;Europa;MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";24870;176
2020;11;Dinamarca;"União Europeia - UE";MARITIMA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";21281;656
2020;11;Dinamarca;"União Europeia - UE";MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";24870;176
2020;11;Eslovênia;Europa;AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";23720;855
2020;11;Eslovênia;Europa;MARITIMA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";48218;290
2020;11;Eslovênia;Europa;MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";168195;1594
2020;11;Eslovênia;"União Europeia - UE";AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";23720;855
2020;11;Eslovênia;"União Europeia - UE";MARITIMA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";48218;290
2020;11;Eslovênia;"União Europeia - UE";MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";168195;1594
2020;11;Espanha;Europa;AEREA;29322000;Lactonas;1280;190
2020;11;Espanha;Europa;AEREA;29334990;"Outros compostos contendo ciclos de quinoleína, etc.";69270;59
2020;11;Espanha;Europa;AEREA;29419059;"Outros macrolídios e seus sais";141709;463
